timestamp,volume,high,close,low,open
197.0000,198.7900,204.7000,205.5688,780825,2019-04-17
201.2400,203.2600,203.7400,208.1400,1016085,2019-04-16
195.8800,202.1600,199.2800,202.6900,715830,2019-04-15
199.9500,200.5000,202.6000,205.8400,890444,2019-04-12
199.6600,200.3600,201.2100,203.5400,695935,2019-04-11
194.8200,199.8800,194.9700,204.4200,1654693,2019-04-10
194.5200,194.8200,196.4700,199.6300,757945,2019-04-09
191.2100,197.5000,195.5300,197.6300,1003549,2019-04-08
193.4000,196.5200,199.9800,199.9998,1007050,2019-04-05
192.8500,198.0000,207.0000,208.0925,1704288,2019-04-04
203.2300,207.2100,208.5000,209.6900,1363888,2019-04-03
202.6813,206.8400,206.0000,207.4800,1141808,2019-04-02
197.0400,206.1300,201.5600,206.2389,2139692,2019-04-01
188.4000,197.9500,189.1100,199.3700,2297992,2019-03-29
180.1000,186.5100,180.6000,189.9000,2078450,2019-03-28
178.2995,180.3800,187.7100,189.6399,2328197,2019-03-27
184.2800,186.9400,201.5300,202.5000,3159042,2019-03-26
196.2700,197.0400,201.5000,204.4500,1680228,2019-03-25
201.2273,202.9100,212.6500,214.6985,1497816,2019-03-22
204.3966,213.5700,204.4700,214.4800,1125794,2019-03-21
201.2112,205.9600,205.4500,208.1900,840656,2019-03-20
201.7501,205.6700,204.3900,207.3500,748002,2019-03-19
200.8600,203.7500,208.0000,209.7400,1652767,2019-03-18
206.4600,207.0000,208.5700,211.8707,1166781,2019-03-15
202.7300,208.2300,205.2000,209.8600,977815,2019-03-14
202.9500,205.1900,208.5000,209.2300,1216565,2019-03-13
201.5900,207.8000,205.3800,208.5815,1266472,2019-03-12
194.3500,204.3800,194.8700,206.3600,2327306,2019-03-11
180.5009,194.3500,185.1300,194.7600,1682239,2019-03-08
184.7368,188.8000,185.8700,191.8900,1388657,2019-03-07
184.2050,186.3500,190.4000,190.5000,1311632,2019-03-06
186.2410,191.2300,187.9500,192.1100,993073,2019-03-05
182.6712,189.3800,196.8700,197.7100,2164673,2019-03-04
193.5100,195.1200,199.1600,201.4700,1574381,2019-03-01
192.5340,197.5400,194.0000,198.9500,1504149,2019-02-28
194.6700,195.0000,194.6700,199.6000,1236547,2019-02-27
191.6400,195.5000,195.0000,197.8200,1842605,2019-02-26
192.4700,197.6200,193.5800,202.3000,3195443,2019-02-25
173.5000,197.7300,175.0000,200.1500,7971429,2019-02-22
148.3600,150.4900,150.0900,153.2000,2295954,2019-02-21
145.5100,150.0900,156.7500,156.7900,4177774,2019-02-20
156.5200,161.7000,159.0000,165.7000,2153659,2019-02-19
153.1100,158.1200,155.0000,158.2700,1281602,2019-02-15
149.9900,153.4300,149.9900,154.9350,966942,2019-02-14
147.5700,151.3400,154.9000,156.5800,1062640,2019-02-13
150.1600,152.9800,151.0000,153.5100,844691,2019-02-12
145.1600,148.9000,148.0100,150.0000,830500,2019-02-11
138.7800,146.1800,139.5000,146.9100,859060,2019-02-08
138.5820,142.0400,145.4000,145.4000,1347403,2019-02-07
146.1800,147.5000,155.0000,155.9699,1740173,2019-02-06
152.9900,155.1600,153.1400,157.5000,1220584,2019-02-05
145.6700,151.6700,146.0000,155.1500,1593878,2019-02-04
142.1593,145.2600,142.4700,146.0000,756423,2019-02-01
140.0500,142.6800,140.0500,145.7800,1021867,2019-01-31
135.3953,140.0500,137.0000,141.7900,817417,2019-01-30
132.9651,134.5600,135.7100,136.9800,547935,2019-01-29
open,timestamp,close,volume,low,high
255.0000,2019-06-20,252.8900,331024,252.6600,257.9950
247.5400,2019-06-19,251.3000,813384,243.9000,251.7100
252.5700,2019-06-18,245.1800,1062164,244.5000,255.5000
246.5300,2019-06-17,248.1100,985321,246.1700,253.9300
243.6400,2019-06-14,244.9400,1123210,240.7600,246.8800
242.8500,2019-06-13,246.8800,1080879,242.2100,248.9900
237.4000,2019-06-12,242.2000,2527072,231.6500,245.7900
253.6200,2019-06-11,249.3600,1523495,245.8700,255.4900
249.3600,2019-06-10,249.8800,1822411,247.4804,257.1299
239.0000,2019-06-07,245.0400,1943741,238.0100,250.0000
233.0000,2019-06-06,237.2600,1979161,224.3600,238.0275
224.5800,2019-06-05,232.3000,2709933,224.5800,234.0000
200.8400,2019-06-04,222.9100,3084173,200.5000,223.3700
199.8700,2019-06-03,197.4200,1704634,196.0000,202.7000
198.0000,2019-05-31,198.8100,988370,196.0100,201.6100
203.0200,2019-05-30,201.8900,1155421,200.1800,204.4400
202.0000,2019-05-29,201.4500,1519227,199.0000,204.7200
196.9500,2019-05-28,202.0900,1689867,196.2300,203.6200
197.5000,2019-05-24,195.9000,1220201,193.7800,199.7399
196.0000,2019-05-23,195.2900,1484660,192.2500,198.0000
197.1300,2019-05-22,198.9000,1266955,197.0004,205.9900
200.0500,2019-05-21,199.0300,1782182,198.1000,207.7600
193.1700,2019-05-20,198.1700,1389981,190.5500,201.5200
198.6200,2019-05-17,198.0200,1497381,196.0449,202.6100
200.6400,2019-05-16,202.0400,3275164,197.4443,209.3900
185.3900,2019-05-15,199.8800,3502851,184.7600,201.3900
179.5200,2019-05-14,185.2600,2228148,177.8500,187.1700
175.7700,2019-05-13,176.7600,2094526,173.6000,181.5200
191.0100,2019-05-10,183.5100,3720332,181.8150,192.6700
218.0000,2019-05-09,189.9200,8963552,180.5000,218.0000
